City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
61,Bambous Virieux,MU,-20.3428,57.7575,82.65,89,40,18.41,light rain
62,Ossora,RU,59.2353,163.0719,-6.21,100,99,3.76,overcast clouds
63,Constitucion,CL,-35.3333,-72.4167,64.74,60,0,11.14,clear sky
64,Canela,BR,-29.3656,-50.8156,81.25,62,98,3.62,moderate rain
65,Korla,CN,41.7597,86.1469,25.7,59,0,2.33,clear sky
66,Katsuura,JP,35.1333,140.3,37.51,45,0,5.3,clear sky
67,Hithadhoo,MV,-0.6,73.0833,80.71,75,94,13.91,overcast clouds
68,Mahebourg,MU,-20.4081,57.7,82.69,89,40,18.41,scattered clouds
69,Sitka,US,57.0531,-135.33,48.09,81,100,13.8,heavy intensity rain
70,Verkhnevilyuysk,RU,63.4453,120.3167,-5.01,99,84,4.74,broken clouds
71,Camacha,PT,33.0833,-16.3333,62.53,82,40,24.16,scattered clouds
72,Leningradskiy,RU,69.3833,178.4167,-29.16,87,4,1.68,clear sky
73,Mareeba,AU,-17.0,145.4333,73.44,92,100,2.21,overcast clouds
74,Barrow,US,71.2906,-156.7887,-20.18,69,20,11.5,haze
75,Portland,US,45.5234,-122.6762,48.51,87,100,1.01,overcast clouds
76,Touros,BR,-5.1989,-35.4608,81.5,68,7,11.77,clear sky
77,El Rosario,MX,24.2556,-107.1828,77.2,32,0,10.92,clear sky
78,Adrar,MR,20.5022,-10.0711,70.2,22,92,11.59,overcast clouds
79,Teya,RU,60.3778,92.6267,-2.94,100,100,2.48,overcast clouds
80,Natal,BR,-5.795,-35.2094,81.25,78,20,10.36,few clouds
81,Oktyabrskoye,RU,43.0645,44.7417,15.94,93,2,6.71,clear sky
82,Tuktoyaktuk,CA,69.4541,-133.0374,-30.8,98,12,6.76,few clouds
83,Genhe,CN,50.7833,121.5167,0.16,97,100,1.21,overcast clouds
84,Takoradi,GH,4.8845,-1.7554,79.97,73,9,6.46,clear sky
85,Lagoa,PT,39.05,-27.9833,59.86,77,1,21.63,clear sky
86,San Quintin,MX,30.4833,-115.95,65.34,46,0,11.95,clear sky
87,Alofi,NU,-19.0595,-169.9187,81.37,74,71,17.34,broken clouds
88,Macau,MO,22.2006,113.5461,66.7,88,40,5.75,scattered clouds
89,Kamaishi,JP,39.2667,141.8833,28.92,68,15,4.76,few clouds
90,Jacareacanga,BR,-6.2222,-57.7528,82.58,75,98,1.86,overcast clouds
91,Padang,ID,-0.9492,100.3543,76.55,87,99,4.56,overcast clouds
92,Kruisfontein,ZA,-34.0033,24.7314,74.88,92,11,3.15,few clouds
93,Yenagoa,NG,4.9247,6.2642,79.47,74,95,3.91,overcast clouds
94,Lorengau,PG,-2.0226,147.2712,80.62,83,96,6.31,overcast clouds
95,Chengde,CN,40.9725,117.9361,20.64,94,100,0.72,light snow
96,Harqalah,TN,36.0303,10.509,55.26,81,0,1.14,clear sky
97,Newburyport,US,42.8126,-70.8773,22.08,42,20,5.01,few clouds
98,Georgetown,MY,5.4112,100.3354,79.9,85,20,0.0,few clouds
99,Khatanga,RU,71.9667,102.5,15.85,93,100,17.92,light snow
100,Dikson,RU,73.5069,80.5464,13.95,95,100,9.86,overcast clouds
101,Kapaa,US,22.0752,-159.319,80.47,68,0,3.0,clear sky
102,Vrises,GR,35.492,23.8899,50.76,84,98,9.75,overcast clouds
103,Khvoynaya,RU,58.9,34.5333,19.09,96,100,7.11,snow
