,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
426,Mazagao,BR,86.05,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
427,Namibe,AO,71.53,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
432,Sulangan,PH,78.57,broken clouds,11.1373,123.7228,Maia's Beach Resort
435,Sorong,ID,79.02,moderate rain,-0.8833,131.25,Waigo Splash Hotel
452,Jardim,BR,79.34,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
453,Cabo San Lucas,MX,78.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
454,Dondo,MZ,73.49,light rain,-19.6094,34.7431,Arco Iris
455,Konongo,GH,74.55,clear sky,6.6167,-1.2167,Alice Tee Hotel
461,Panaba,MX,84.61,broken clouds,21.2833,-88.2667,Hotel California
462,Sao Felix Do Xingu,BR,82.04,heavy intensity rain,-6.6447,-51.995,Rio Xingu Camping
463,Viedma,AR,82.53,clear sky,-40.8135,-62.9967,Hotel Cristal
468,Teahupoo,PF,76.53,light rain,-17.8333,-149.2667,Vanira Lodge
474,Mana,GF,77.63,light rain,5.6592,-53.7767,LE SAMANA
475,Matara,LK,71.91,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
476,Canutama,BR,80.24,moderate rain,-6.5339,-64.3831,Hotel Jhennifer
477,Faanui,PF,80.89,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
478,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
480,Atar,MR,78.28,overcast clouds,20.5169,-13.0499,Oumou Elghoura
481,Leme,BR,82.26,few clouds,-22.1856,-47.3903,Pousada Piaza
488,Itarema,BR,81.05,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
489,Inhambane,MZ,75.81,overcast clouds,-23.865,35.3833,Oceano
492,Chongoyape,PE,76.17,overcast clouds,-6.6406,-79.3892,Hostal Mulato & Chaparri
493,Lano,NG,72.09,broken clouds,10.1725,11.4715,Lano
495,Grand-Santi,GF,76.39,heavy intensity rain,4.25,-54.3833,Hotel La Villa Couacou
496,Amuntai,ID,71.73,overcast clouds,-2.4177,115.2494,Hotel Balqis
506,Conceicao Do Araguaia,BR,84.52,few clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
507,Bonthe,SL,78.51,clear sky,7.5264,-12.505,Bonthe Holiday Village
508,Novo Cruzeiro,BR,73.33,few clouds,-17.4681,-41.8753,Hotel Nossa Senhora das Graças
514,Itupiranga,BR,88.12,overcast clouds,-5.1347,-49.3267,Hotel Panorama
517,Puerto Leguizamo,CO,83.25,broken clouds,-0.1934,-74.7819,la casona de juancho
521,Bosaso,SO,73.58,overcast clouds,11.2842,49.1816,Red Sea Hotel
526,Baracoa,CU,79.56,few clouds,20.3467,-74.4958,Hostal Rio Miel
531,Acarau,BR,81.45,scattered clouds,-2.8856,-40.12,castelo pizzaria
533,Antofagasta,CL,71.22,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
542,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
547,Kaduqli,SD,71.08,broken clouds,11.0167,29.7167,فندق الله جابو
548,Port Augusta,AU,71.74,light rain,-32.5,137.7667,Majestic Oasis Apartments
549,Kieta,PG,79.92,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
550,Nouakchott,MR,72.7,overcast clouds,18.0858,-15.9785,HOTEL IMAN
551,Alta Floresta,BR,78.8,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
553,Kita,ML,76.71,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
555,Ngunguru,NZ,73.17,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
562,Domoni,KM,79.2,overcast clouds,-12.2569,44.5319,Al Djadid
563,Clarence Town,AU,73.85,broken clouds,-32.5833,151.7833,River Downs Cottage
565,Singaraja,ID,79.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
