City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,Ponta Do Sol,32.6667,-17.1,66.0,51,100,14.32,PT,2022-01-21 19:37:48
127,Laguna,38.421,-121.4238,67.84,45,0,7.0,US,2022-01-21 19:44:38
128,Mitchell,43.7094,-98.0298,23.11,85,100,11.01,US,2022-01-21 19:44:38
129,Vestmannaeyjar,63.4427,-20.2734,42.82,78,100,32.61,IS,2022-01-21 19:40:20
130,Mikuni,36.2171,136.1519,31.91,75,33,5.03,JP,2022-01-21 19:45:39
131,Royan,45.6285,-1.0281,37.78,77,6,13.18,FR,2022-01-21 19:45:39
132,Kama,56.3051,54.0936,-0.83,100,88,4.34,RU,2022-01-21 19:45:40
133,Grindavik,63.8424,-22.4338,41.47,70,75,34.52,IS,2022-01-21 19:40:27
134,Pochinki,54.6988,44.8668,17.8,94,100,15.86,RU,2022-01-21 19:45:40
135,Preobrazheniye,42.9019,133.9064,15.57,48,12,4.74,RU,2022-01-21 19:45:41
136,Avarua,-21.2078,-159.775,78.85,94,75,17.27,CK,2022-01-21 19:45:41
137,Guerrero Negro,27.9769,-114.0611,69.39,32,0,11.14,MX,2022-01-21 19:37:49
138,Dzerzhinsk,56.2389,43.4631,17.42,85,75,8.95,RU,2022-01-21 19:45:42
139,Semey,50.4111,80.2275,-13.79,99,57,2.68,KZ,2022-01-21 19:45:43
140,Diego De Almagro,-26.3667,-70.05,80.44,29,0,13.49,CL,2022-01-21 19:45:43
141,Yulara,-25.2406,130.9889,75.04,88,0,5.75,AU,2022-01-21 19:45:43
142,Aksu,41.1231,80.2644,23.47,67,0,1.43,CN,2022-01-21 19:45:44
143,Sitka,57.0531,-135.33,46.29,87,100,12.66,US,2022-01-21 19:45:44
144,Cabinda,-5.55,12.2,77.58,82,18,10.04,AO,2022-01-21 19:45:44
145,Kardla,58.9978,22.7492,30.02,77,100,23.55,EE,2022-01-21 19:45:45
146,Glenwood Springs,39.5505,-107.3248,38.35,85,100,1.99,US,2022-01-21 19:45:45
147,Atuona,-9.8,-139.0333,78.84,76,18,23.78,PF,2022-01-21 19:45:46
148,Bastia,42.6667,9.3333,49.3,75,40,4.61,FR,2022-01-21 19:45:46
149,Oranjemund,-28.55,16.4333,74.97,66,96,5.93,NA,2022-01-21 19:45:47
150,Lompoc,34.6391,-120.4579,69.53,53,0,4.61,US,2022-01-21 19:45:06
151,Rio Grande,-32.035,-52.0986,89.71,75,18,18.81,BR,2022-01-21 19:44:52
152,Zhigansk,66.7697,123.3711,-16.4,98,100,15.3,RU,2022-01-21 19:45:47
153,Tilichiki,60.4667,166.1,-20.6,86,5,8.55,RU,2022-01-21 19:45:48
154,Bandarbeyla,9.4942,50.8122,76.35,75,99,21.5,SO,2022-01-21 19:45:48
155,Eydhafushi,5.1033,73.0708,80.82,61,100,6.76,MV,2022-01-21 19:45:48
156,Tiksi,71.6872,128.8694,-4.83,87,100,9.6,RU,2022-01-21 19:39:07
157,Garbolovo,60.3413,30.4955,27.7,96,100,8.61,RU,2022-01-21 19:45:49
158,Tessalit,20.1986,1.0114,63.9,17,58,10.11,ML,2022-01-21 19:45:49
159,Upernavik,72.7868,-56.1549,-2.24,92,100,2.62,GL,2022-01-21 19:45:50
160,Prabumulih,-3.45,104.25,72.57,99,100,2.73,ID,2022-01-21 19:45:50
161,Santa Cruz,-17.8,-63.1667,87.26,66,75,17.27,BO,2022-01-21 19:44:27
162,Senador Jose Porfirio,-2.5908,-51.9542,80.38,86,85,1.45,BR,2022-01-21 19:45:50
163,Leningradskiy,69.3833,178.4167,-29.2,87,3,2.01,RU,2022-01-21 19:36:40
164,Jeremie,18.65,-74.1167,80.35,67,38,2.93,HT,2022-01-21 19:45:51
165,Ceska Ves,50.2574,17.2281,29.21,92,100,12.3,CZ,2022-01-21 19:45:51
166,Castro,-24.7911,-50.0119,76.51,69,48,6.38,BR,2022-01-21 19:45:51
167,Takaka,-40.85,172.8,67.93,46,0,1.16,NZ,2022-01-21 19:45:52
168,Bima,-8.4667,118.7167,75.42,91,100,2.01,ID,2022-01-21 19:45:52
169,Talnakh,69.4865,88.3972,6.96,96,100,11.05,RU,2022-01-21 19:37:50
170,Ribeira Grande,38.5167,-28.7,61.2,77,20,13.8,PT,2022-01-21 19:45:52
171,Mount Isa,-20.7333,139.5,76.77,88,40,0.0,AU,2022-01-21 19:45:53
172,Airai,-8.9266,125.4092,59.92,90,100,3.04,TL,2022-01-21 19:45:53
